# Mask ID Information
# Total masks: 66
# Generated from: couch_slide_v1.jpg

# Selected as foreground:
foreground_mask_ids: 6

# All mask IDs and their areas:
mask_0: area=1373614, iou=0.988, stability=0.959
mask_1: area=138019, iou=0.984, stability=0.970
mask_2: area=92436, iou=0.984, stability=0.983
mask_3: area=141899, iou=0.984, stability=0.951
mask_4: area=39214, iou=0.980, stability=0.988
mask_5: area=23054, iou=0.980, stability=0.972
mask_6: area=620473, iou=0.980, stability=0.989
mask_7: area=144530, iou=0.980, stability=0.983
mask_8: area=145313, iou=0.980, stability=0.974
mask_9: area=93535, iou=0.980, stability=0.970
mask_10: area=36435, iou=0.977, stability=0.985
mask_11: area=36280, iou=0.977, stability=0.982
mask_12: area=47023, iou=0.977, stability=0.970
mask_13: area=51622, iou=0.973, stability=0.956
mask_14: area=101375, iou=0.973, stability=0.977
mask_15: area=101666, iou=0.973, stability=0.974
mask_16: area=77047, iou=0.973, stability=0.961
mask_17: area=46894, iou=0.973, stability=0.969
mask_18: area=14034, iou=0.969, stability=0.956
mask_19: area=102014, iou=0.969, stability=0.976
mask_20: area=45912, iou=0.969, stability=0.959
mask_21: area=46496, iou=0.969, stability=0.965
mask_22: area=46584, iou=0.969, stability=0.968
mask_23: area=27112, iou=0.965, stability=0.979
mask_24: area=23696, iou=0.965, stability=0.960
mask_25: area=23926, iou=0.965, stability=0.979
mask_26: area=25074, iou=0.965, stability=0.964
mask_27: area=25301, iou=0.965, stability=0.955
mask_28: area=136084, iou=0.965, stability=0.955
mask_29: area=10396, iou=0.961, stability=0.977
mask_30: area=25407, iou=0.961, stability=0.979
mask_31: area=12468, iou=0.961, stability=0.972
mask_32: area=23682, iou=0.961, stability=0.975
mask_33: area=116399, iou=0.957, stability=0.956
mask_34: area=35645, iou=0.957, stability=0.963
mask_35: area=4317, iou=0.957, stability=0.967
mask_36: area=1158778, iou=0.953, stability=0.971
mask_37: area=73841, iou=0.953, stability=0.953
mask_38: area=201508, iou=0.949, stability=0.985
mask_39: area=3677, iou=0.949, stability=0.976
mask_40: area=37335, iou=0.949, stability=0.973
mask_41: area=10013, iou=0.949, stability=0.967
mask_42: area=74083, iou=0.949, stability=0.962
mask_43: area=2083, iou=0.941, stability=0.970
mask_44: area=8466, iou=0.938, stability=0.961
mask_45: area=104180, iou=0.938, stability=0.957
mask_46: area=10119, iou=0.934, stability=0.961
mask_47: area=6440, iou=0.930, stability=0.968
mask_48: area=105038, iou=0.930, stability=0.961
mask_49: area=144640, iou=0.930, stability=0.953
mask_50: area=16442, iou=0.926, stability=0.950
mask_51: area=905, iou=0.926, stability=0.977
mask_52: area=103683, iou=0.926, stability=0.961
mask_53: area=118642, iou=0.918, stability=0.973
mask_54: area=11759, iou=0.918, stability=0.969
mask_55: area=17463, iou=0.914, stability=0.976
mask_56: area=118415, iou=0.914, stability=0.975
mask_57: area=204877, iou=0.910, stability=0.979
mask_58: area=174067, iou=0.891, stability=0.968
mask_59: area=174171, iou=0.879, stability=0.968
mask_60: area=2869, iou=0.875, stability=0.959
mask_61: area=101704, iou=0.863, stability=0.966
mask_62: area=145762, iou=0.863, stability=0.965
mask_63: area=103518, iou=0.852, stability=0.956
mask_64: area=1239658, iou=0.840, stability=0.957
mask_65: area=25418, iou=0.832, stability=0.951
