# Mask ID Information
# Total masks: 52
# Generated from: girl_yogaball_v2.png

# Selected as foreground:
foreground_mask_ids: 2

# All mask IDs and their areas:
mask_0: area=425320, iou=0.996, stability=0.986
mask_1: area=54939, iou=0.992, stability=0.987
mask_2: area=90644, iou=0.992, stability=0.986
mask_3: area=74258, iou=0.988, stability=0.981
mask_4: area=75280, iou=0.988, stability=0.983
mask_5: area=75570, iou=0.988, stability=0.985
mask_6: area=135933, iou=0.988, stability=0.977
mask_7: area=135959, iou=0.984, stability=0.980
mask_8: area=28078, iou=0.980, stability=0.982
mask_9: area=20494, iou=0.980, stability=0.983
mask_10: area=12640, iou=0.977, stability=0.980
mask_11: area=9679, iou=0.973, stability=0.970
mask_12: area=415446, iou=0.973, stability=0.951
mask_13: area=7182, iou=0.973, stability=0.979
mask_14: area=7932, iou=0.973, stability=0.974
mask_15: area=55539, iou=0.969, stability=0.963
mask_16: area=28732, iou=0.961, stability=0.970
mask_17: area=9749, iou=0.961, stability=0.955
mask_18: area=11533, iou=0.961, stability=0.965
mask_19: area=11067, iou=0.957, stability=0.969
mask_20: area=6420, iou=0.957, stability=0.960
mask_21: area=11634, iou=0.957, stability=0.971
mask_22: area=3000, iou=0.953, stability=0.963
mask_23: area=3966, iou=0.953, stability=0.964
mask_24: area=2861, iou=0.949, stability=0.983
mask_25: area=66456, iou=0.949, stability=0.959
mask_26: area=25042, iou=0.945, stability=0.951
mask_27: area=938, iou=0.941, stability=0.983
mask_28: area=5166, iou=0.941, stability=0.962
mask_29: area=5160, iou=0.938, stability=0.953
mask_30: area=12423, iou=0.930, stability=0.965
mask_31: area=8241, iou=0.930, stability=0.970
mask_32: area=400, iou=0.926, stability=0.968
mask_33: area=2487, iou=0.926, stability=0.970
mask_34: area=2903, iou=0.922, stability=0.952
mask_35: area=6173, iou=0.922, stability=0.957
mask_36: area=105178, iou=0.922, stability=0.970
mask_37: area=92269, iou=0.918, stability=0.968
mask_38: area=1957, iou=0.918, stability=0.966
mask_39: area=3368, iou=0.914, stability=0.951
mask_40: area=1669, iou=0.906, stability=0.955
mask_41: area=4791, iou=0.902, stability=0.951
mask_42: area=3544, iou=0.895, stability=0.976
mask_43: area=104952, iou=0.883, stability=0.966
mask_44: area=2998, iou=0.863, stability=0.952
mask_45: area=436, iou=0.844, stability=0.960
mask_46: area=872, iou=0.832, stability=0.957
mask_47: area=1767, iou=0.828, stability=0.952
mask_48: area=376, iou=0.828, stability=0.964
mask_49: area=43983, iou=0.812, stability=0.952
mask_50: area=17303, iou=0.809, stability=0.966
mask_51: area=429224, iou=0.809, stability=0.955
