# Mask ID Information
# Total masks: 51
# Generated from: piston_pressure_v1.png

# Selected as foreground:
foreground_mask_ids: 1

# All mask IDs and their areas:
mask_0: area=1351983, iou=0.996, stability=0.990
mask_1: area=204835, iou=0.988, stability=0.982
mask_2: area=205615, iou=0.984, stability=0.978
mask_3: area=236998, iou=0.984, stability=0.978
mask_4: area=14583, iou=0.984, stability=0.984
mask_5: area=21307, iou=0.984, stability=0.990
mask_6: area=16922, iou=0.984, stability=0.988
mask_7: area=237896, iou=0.980, stability=0.970
mask_8: area=19419, iou=0.980, stability=0.988
mask_9: area=19414, iou=0.980, stability=0.988
mask_10: area=21293, iou=0.980, stability=0.989
mask_11: area=19368, iou=0.980, stability=0.988
mask_12: area=17254, iou=0.977, stability=0.980
mask_13: area=205403, iou=0.977, stability=0.980
mask_14: area=13193, iou=0.977, stability=0.975
mask_15: area=17248, iou=0.977, stability=0.976
mask_16: area=10177, iou=0.977, stability=0.984
mask_17: area=29334, iou=0.973, stability=0.951
mask_18: area=39541, iou=0.973, stability=0.968
mask_19: area=39215, iou=0.973, stability=0.969
mask_20: area=19371, iou=0.973, stability=0.966
mask_21: area=19317, iou=0.973, stability=0.973
mask_22: area=6193, iou=0.969, stability=0.978
mask_23: area=38616, iou=0.969, stability=0.976
mask_24: area=31061, iou=0.969, stability=0.963
mask_25: area=12953, iou=0.969, stability=0.965
mask_26: area=6610, iou=0.965, stability=0.967
mask_27: area=19256, iou=0.965, stability=0.965
mask_28: area=6732, iou=0.961, stability=0.962
mask_29: area=19198, iou=0.961, stability=0.964
mask_30: area=12115, iou=0.957, stability=0.955
mask_31: area=1952, iou=0.957, stability=0.973
mask_32: area=16310, iou=0.953, stability=0.971
mask_33: area=4511, iou=0.949, stability=0.972
mask_34: area=48228, iou=0.941, stability=0.970
mask_35: area=17393, iou=0.941, stability=0.969
mask_36: area=1340, iou=0.938, stability=0.954
mask_37: area=30062, iou=0.938, stability=0.973
mask_38: area=2327, iou=0.930, stability=0.963
mask_39: area=7956, iou=0.926, stability=0.965
mask_40: area=34477, iou=0.918, stability=0.953
mask_41: area=2766, iou=0.902, stability=0.954
mask_42: area=10210, iou=0.898, stability=0.957
mask_43: area=2983, iou=0.895, stability=0.965
mask_44: area=9396, iou=0.891, stability=0.973
mask_45: area=1361, iou=0.875, stability=0.955
mask_46: area=247397, iou=0.855, stability=0.956
mask_47: area=804, iou=0.840, stability=0.950
mask_48: area=25982, iou=0.836, stability=0.952
mask_49: area=26662, iou=0.828, stability=0.964
mask_50: area=26689, iou=0.812, stability=0.956
